ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_2372915	0.228	0.00000481	6.12135468	0.9643	0.6847404	P2RY2	purinergic receptor P2Y2
ILMN_1808898	0.391	0.00002905	5.32990053	0.1584	0.26195923	NPR2	natriuretic peptide receptor 2
ILMN_2296860	0.391	0.00003028	5.31188424	0.1389	1.26918667		
ILMN_1734880	0.391	0.00003302	5.27460944	0.0984	0.43039398		
ILMN_1660436	0.883	0.00012335	-4.71154065	-0.5401	-0.45901136	HSPA1B	heat shock protein family A (Hsp70) member 1B
ILMN_1810915	0.883	0.00017422	4.56543945	-0.7133	0.58784318	FAAH	fatty acid amide hydrolase
ILMN_1664248	0.883	0.00017876	4.5545632	-0.7263	0.31424487		
ILMN_1811387	0.883	0.0001839	4.54257896	-0.7407	1.35584294	TFF3	trefoil factor 3
ILMN_2338963	0.883	0.00019242	4.52345517	-0.7636	1.0932778		
ILMN_1709937	0.883	0.00021268	-4.48119787	-0.8145	-0.36078449	KCNN4	potassium calcium-activated channel subfamily N member 4
ILMN_1773119	0.883	0.00022202	-4.46306078	-0.8364	-0.4025035	CCNF	cyclin F
ILMN_1686401	0.883	0.0002238	4.45968079	-0.8405	0.28033224		
ILMN_3230403	0.903	0.00029754	4.33960409	-0.9865	0.27639212		
ILMN_1690610	0.903	0.00030666	-4.32687977	-1.0021	-0.2988174	RALY	RALY heterogeneous nuclear ribonucleoprotein
ILMN_1754332	0.903	0.00031995	4.30901292	-1.024	0.25690175	SNORD14C	small nucleolar RNA, C/D box 14C
ILMN_2062001	0.903	0.00033467	4.29006567	-1.0473	0.37158142	HOOK3	hook microtubule tethering protein 3
ILMN_2123450	0.903	0.00035744	4.26233145	-1.0814	0.93374832		
ILMN_1690122	0.903	0.00038622	-4.22971777	-1.1217	-0.21659279	CRKL	CRK like proto-oncogene, adaptor protein
ILMN_1890005	0.903	0.0004069	-4.20775361	-1.1488	-0.55605753		
ILMN_1793832	0.903	0.00043287	-4.18169501	-1.1811	-0.46120342	GRB14	growth factor receptor bound protein 14
ILMN_2356909	0.903	0.00043296	-4.18161157	-1.1812	-0.4980514	MOSPD3	motile sperm domain containing 3
ILMN_1795703	0.903	0.00044176	-4.17313885	-1.1918	-0.38696168	GET4	golgi to ER traffic protein 4
ILMN_1764769	0.903	0.00046021	-4.15591181	-1.2132	-0.23870021	VWA5A	von Willebrand factor A domain containing 5A
ILMN_1769083	0.903	0.00046977	4.14725182	-1.224	0.23089696	GSTA3	glutathione S-transferase alpha 3
ILMN_1758333	0.903	0.00047687	-4.1409331	-1.2318	-0.45823173		
ILMN_1722284	0.909	0.00049967	-4.12126434	-1.2563	-0.68673237		
ILMN_1703326	0.932	0.00053184	4.09498439	-1.2891	0.99973015	PTGDR2	prostaglandin D2 receptor 2
ILMN_1693410	0.966	0.00057142	4.06474791	-1.327	0.38221674	BRI3BP	BRI3 binding protein
ILMN_1779512	0.983	0.00061494	4.03382604	-1.3658	0.30496961	AP4M1	adaptor related protein complex 4 mu 1 subunit
ILMN_3210491	0.983	0.0006311	-4.02290213	-1.3795	-0.21094699		
ILMN_3183048	0.983	0.00064943	-4.01083589	-1.3947	-0.28034375		
ILMN_1767176	0.983	0.00072994	3.96157861	-1.4567	0.21418335	PDE9A	phosphodiesterase 9A
ILMN_1825426	0.983	0.00073522	3.95853701	-1.4606	0.39173403		
ILMN_1841620	0.983	0.00076473	3.94194874	-1.4815	0.2667729	TRIP12	thyroid hormone receptor interactor 12
ILMN_1667239	0.983	0.0008265	3.9091825	-1.523	0.36359304	INPP1	inositol polyphosphate-1-phosphatase
ILMN_2307883	0.983	0.00083515	3.90479064	-1.5285	0.20417963	ATP5J2	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2
ILMN_2053829	0.983	0.00083535	-3.90468923	-1.5287	-0.52440356	CBLN3	cerebellin 3 precursor
ILMN_1777998	0.983	0.00083768	-3.90351458	-1.5301	-0.23966128	ARHGAP25	Rho GTPase activating protein 25
ILMN_1796523	0.983	0.00086963	3.88772001	-1.5502	0.2044517	FNIP1	folliculin interacting protein 1
ILMN_3308250	0.983	0.0008705	-3.88729999	-1.5507	-0.17331931	MIR548H4	microRNA 548h-4
ILMN_1778226	0.983	0.00087301	-3.88608259	-1.5522	-0.43053115	EXTL3	exostosin like glycosyltransferase 3
ILMN_1788251	0.983	0.00094574	-3.85230649	-1.5951	-0.48548642	SNN	stannin
ILMN_1657683	0.983	0.0009852	-3.83504179	-1.6171	-0.49350951	C1orf198	chromosome 1 open reading frame 198
ILMN_3243190	0.983	0.00100077	3.82842071	-1.6255	1.04568285	ADGRE4P	adhesion G protein-coupled receptor E4, pseudogene
ILMN_1909886	0.983	0.00101251	3.82349408	-1.6317	0.77287325		
ILMN_3242238	0.983	0.00101999	-3.82038513	-1.6357	-0.30723692		
ILMN_3239965	0.983	0.00103643	3.81362835	-1.6443	1.27632942	IDO1	indoleamine 2,3-dioxygenase 1
ILMN_1779095	0.983	0.00104477	3.8102398	-1.6486	0.96531814	CEBPE	CCAAT/enhancer binding protein epsilon
ILMN_1770339	0.983	0.00108995	3.7923465	-1.6714	0.30800454	RPAIN	RPA interacting protein
ILMN_1747409	0.983	0.00110945	-3.78484994	-1.681	-0.34131766	MT1L	metallothionein 1L (gene/pseudogene)
ILMN_2287276	0.983	0.00113185	-3.77639818	-1.6918	-0.52126395	FAM177A1	family with sequence similarity 177 member A1
ILMN_2207393	0.983	0.00117989	-3.75881995	-1.7142	-0.34991829	CNOT3	CCR4-NOT transcription complex subunit 3
ILMN_1728702	0.983	0.00118134	-3.7583001	-1.7149	-0.24522008		
ILMN_1836182	0.983	0.00120782	-3.74892089	-1.7268	-0.37363131		
ILMN_1795126	0.983	0.00121451	-3.74658456	-1.7298	-0.29535742		
ILMN_1655894	0.983	0.0012268	-3.74232318	-1.7353	-0.35485496	MYL1	myosin light chain 1
ILMN_2211263	0.983	0.00123051	3.74104275	-1.7369	0.20920776	RFK	riboflavin kinase
ILMN_1803745	0.983	0.00127373	3.72643383	-1.7556	0.33344676	SUOX	sulfite oxidase
ILMN_1742009	0.983	0.00127548	-3.7258503	-1.7563	-0.18488675	C3orf30	chromosome 3 open reading frame 30
ILMN_3266944	0.983	0.00133767	3.70568993	-1.7821	0.46006692		
ILMN_1771664	0.983	0.00133957	-3.70509058	-1.7829	-0.48189917	CLEC4E	C-type lectin domain family 4 member E
ILMN_1656310	0.983	0.00134198	3.70432704	-1.7839	1.27516617	IDO1	indoleamine 2,3-dioxygenase 1
ILMN_2415653	0.983	0.00136989	-3.69560589	-1.795	-0.51915334	KIR2DL5A	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A
ILMN_1711894	0.983	0.0014272	3.67823662	-1.8173	0.64828989	MYB	MYB proto-oncogene, transcription factor
ILMN_1818192	0.983	0.00144886	3.6718534	-1.8255	0.28122701		
ILMN_1779370	0.983	0.00152151	3.65110311	-1.8521	0.18357992	ARHGEF9	Cdc42 guanine nucleotide exchange factor 9
ILMN_3280961	0.983	0.00156038	-3.64039737	-1.8658	-0.24096403		
ILMN_1666089	0.983	0.00157756	3.63575179	-1.8718	0.85623667	OLIG1	oligodendrocyte transcription factor 1
ILMN_1775508	0.983	0.0016158	3.62558533	-1.8848	0.21231619	CYLD	CYLD lysine 63 deubiquitinase
ILMN_1766904	0.983	0.00163403	3.62081951	-1.8909	0.28076526	MAPK10	mitogen-activated protein kinase 10
ILMN_1679728	0.983	0.00165416	-3.61562005	-1.8976	-0.22314826	WDR87	WD repeat domain 87
ILMN_1654875	0.983	0.0017143	3.60044938	-1.9171	1.36468976	CLC	Charcot-Leyden crystal galectin
ILMN_1670263	0.983	0.00175984	3.5893062	-1.9314	0.23088084	CNST	consortin, connexin sorting protein
ILMN_1708126	0.983	0.00181011	-3.57733204	-1.9468	-0.30438003	GOLGA6D	golgin A6 family member D
ILMN_1763989	0.983	0.00181569	-3.57602371	-1.9485	-0.30694703	SEC63	SEC63 homolog, protein translocation regulator
ILMN_1681724	0.983	0.00187777	3.5617218	-1.9669	0.2881551	FPGS	folylpolyglutamate synthase
ILMN_1861972	0.983	0.00194279	-3.54723477	-1.9855	-0.43229599		
ILMN_1730628	0.983	0.00195545	3.54446926	-1.9891	1.05758081	RNASE2	ribonuclease A family member 2
ILMN_3236391	0.983	0.00195643	-3.54425559	-1.9894	-0.25651961		
ILMN_3250147	0.983	0.00196871	3.54159241	-1.9928	0.37764962	ZNF626	zinc finger protein 626
ILMN_1677609	0.983	0.00200542	3.53372458	-2.0029	0.41259095		
ILMN_1775304	0.983	0.00205132	-3.52408206	-2.0154	-0.31330236	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1
ILMN_2188374	0.983	0.00206421	3.52141488	-2.0188	0.34989154	XPOT	exportin for tRNA
ILMN_1674394	0.983	0.0020746	-3.51927344	-2.0215	-0.3948625	APMAP	adipocyte plasma membrane associated protein
ILMN_1786015	0.983	0.00208291	-3.51757134	-2.0237	-0.24131153	CTCF	CCCTC-binding factor
ILMN_3236821	0.983	0.00208911	-3.5163042	-2.0254	-0.59813849		
ILMN_1801348	0.983	0.00209975	-3.51413748	-2.0282	-0.31970042	GOT2	glutamic-oxaloacetic transaminase 2
ILMN_3204275	0.983	0.00211852	3.51034367	-2.033	0.40097185		
ILMN_1667120	0.983	0.00218222	3.49771082	-2.0493	0.19124421	FBXO9	F-box protein 9
ILMN_1779177	0.983	0.00219428	-3.49536135	-2.0524	-0.28919108	U2AF1L4	U2 small nuclear RNA auxiliary factor 1 like 4
ILMN_1710427	0.983	0.00223649	-3.48723139	-2.0628	-0.35077074	VPS37B	VPS37B, ESCRT-I subunit
ILMN_1711368	0.983	0.00225773	-3.48319707	-2.068	-0.41561458	TRAPPC9	trafficking protein particle complex 9
ILMN_3274929	0.983	0.00227328	-3.48026703	-2.0718	-0.23400587		
ILMN_1844919	0.983	0.00230557	-3.47424591	-2.0796	-0.24777256	EBF2	early B-cell factor 2
ILMN_1748004	0.983	0.00231063	3.47331021	-2.0808	0.24462337	PAEP	progestagen associated endometrial protein
ILMN_3187362	0.983	0.00232156	-3.47129539	-2.0834	-0.5246116		
ILMN_1807613	0.983	0.00233885	3.46812622	-2.0875	0.48557877		
ILMN_1716816	0.983	0.00237059	-3.46236902	-2.0949	-0.19645935	TMEM87A	transmembrane protein 87A
ILMN_1795139	0.983	0.00237901	3.46085526	-2.0968	0.44273853	S100Z	S100 calcium binding protein Z
ILMN_2286574	0.983	0.00240846	-3.45559807	-2.1036	-0.25117767	EPHA3	EPH receptor A3
ILMN_1695844	0.983	0.00243098	3.45162066	-2.1087	0.19824878		
ILMN_1655052	0.983	0.00244428	3.44928969	-2.1117	0.36213682		
ILMN_1714223	0.983	0.00248101	-3.44291329	-2.12	-0.34727762	LETM2	leucine zipper and EF-hand containing transmembrane protein 2
ILMN_3230215	0.983	0.00253461	3.43377327	-2.1318	0.22892727	TOX2	TOX high mobility group box family member 2
ILMN_1692198	0.983	0.00254682	-3.43171717	-2.1344	-0.1356916		
ILMN_2156250	0.983	0.00255721	-3.42997599	-2.1367	-0.49701535	SOCS3	suppressor of cytokine signaling 3
ILMN_2227162	0.983	0.00257336	3.4272824	-2.1401	0.18370643		
ILMN_1749210	0.983	0.0026038	-3.42225042	-2.1466	-0.25229541	BUD13	BUD13 homolog
ILMN_1760338	0.983	0.00260518	3.42202368	-2.1469	0.21661059		
