Sample	Class	Tissue	Condition
GSM23159	test	PBMC	pauciarticularJRA
GSM23160	test	PBMC	pauciarticularJRA
GSM23161	test	PBMC	pauciarticularJRA
GSM23162	test	PBMC	pauciarticularJRA
GSM23163	test	PBMC	pauciarticularJRA
GSM23164	test	PBMC	polyarticularJRA
GSM23165	test	PBMC	polyarticularJRA
GSM23166	test	PBMC	polyarticularJRA
GSM23167	test	PBMC	polyarticularJRA
GSM23168	test	PBMC	polyarticularJRA
GSM23169	test	PBMC	polyarticularJRA
GSM23170	test	PBMC	polyarticularJRA
GSM23171	test	PBMC	polyarticularJRA
GSM23172	test	PBMC	polyarticularJRA
GSM23173	test	PBMC	polyarticularJRA
GSM23174	test	PBMC	polyarticularJRA
GSM23175	test	PBMC	polyarticularJRA
GSM23176	test	PBMC	polyarticularJRA
GSM23177	test	PBMC	polyarticularJRA
GSM23178	test	PBMC	polyarticularJRA
GSM23179	No	PBMC	JspA
GSM23180	No	PBMC	JspA
GSM23181	No	PBMC	JspA
GSM23182	No	PBMC	JspA
GSM23183	No	PBMC	JspA
GSM23184	No	PBMC	JspA
GSM23185	control	PBMC	HC
GSM23186	control	PBMC	HC
GSM23187	control	PBMC	HC
GSM23188	control	PBMC	HC
GSM23189	control	PBMC	HC
GSM23190	control	PBMC	HC
GSM23191	control	PBMC	HC
GSM23192	control	PBMC	HC
GSM23193	control	PBMC	HC
GSM23194	control	PBMC	HC
GSM23195	control	PBMC	HC
GSM23196	No	SFMC	pauciarticularJRA
GSM23197	No	SFMC	pauciarticularJRA
GSM23198	No	SFMC	pauciarticularJRA
GSM23199	No	SFMC	pauciarticularJRA
GSM23200	No	SFMC	pauciarticularJRA
GSM23201	No	SFMC	polyarticularJRA
GSM23202	No	SFMC	polyarticularJRA
GSM23203	No	SFMC	polyarticularJRA
GSM23204	No	SFMC	polyarticularJRA
GSM23205	No	SFMC	polyarticularJRA
GSM23206	No	SFMC	polyarticularJRA
GSM23207	No	SFMC	polyarticularJRA
GSM23208	No	SFMC	polyarticularJRA
GSM23209	No	SFMC	polyarticularJRA
GSM23210	No	SFMC	polyarticularJRA
GSM23211	No	SFMC	JspA
GSM23212	No	SFMC	JspA
GSM23213	No	SFMC	JspA
GSM23214	No	SFMC	JspA
GSM23215	No	SFMC	JspA
