ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
35550_at	0.000195	1.54e-08	7.497534	9.423825	1.74598795	PCYT1B	phosphate cytidylyltransferase 1, choline, beta
40472_at	0.000462	1.42e-07	-6.707031	7.389628	-2.47714747	LPCAT4	lysophosphatidylcholine acyltransferase 4
40855_at	0.000462	1.43e-07	-6.704207	7.38223	-1.72193423	SAMD4A	sterile alpha motif domain containing 4A
35141_at	0.000462	1.46e-07	-6.695707	7.359954	-1.52781964	RNASEH2A	ribonuclease H2 subunit A
35225_at	0.000504	2.00e-07	-6.58722	7.075004	-1.34449528	ZNF76	zinc finger protein 76
40520_g_at	0.000896	4.89e-07	-6.274862	6.248207	-0.86022815	PTPRC	protein tyrosine phosphatase, receptor type C
41247_at	0.000896	4.97e-07	6.269077	6.232814	0.68746067	KCNB1	potassium voltage-gated channel subfamily B member 1
1218_at	0.001119	7.93e-07	-6.107345	5.801368	-1.09889573	NR2F6	nuclear receptor subfamily 2 group F member 6
172_at	0.001119	8.12e-07	-6.099087	5.779285	-0.74791925	INPP5D	inositol polyphosphate-5-phosphatase D
38157_at	0.001119	8.86e-07	-6.068712	5.69802	-1.71046142	DXO	decapping exoribonuclease
35839_at	0.001647	1.71e-06	5.842705	5.09151	0.91002862	SQLE	squalene epoxidase
38790_at	0.001647	1.77e-06	-5.82951	5.056009	-1.76672341	EPHX1	epoxide hydrolase 1
33034_at	0.001647	1.90e-06	5.805887	4.992432	0.64918806	RHBDL1	rhomboid like 1
40329_at	0.001647	1.93e-06	-5.800201	4.977125	-1.1817988	SLC39A7	solute carrier family 39 member 7
37458_at	0.001647	1.99e-06	5.789511	4.948342	0.82382293	CDC45	cell division cycle 45
39896_at	0.001647	2.09e-06	-5.773193	4.904396	-1.1046833	DHX16	DEAH-box helicase 16
40589_at	0.001669	2.57e-06	-5.701495	4.711168	-1.1135381	SNTB2	syntrophin beta 2
32137_at	0.001669	2.59e-06	5.698399	4.702818	0.53106626	JAG2	jagged 2
37659_at	0.001669	2.74e-06	-5.679857	4.652811	-1.01759934	IMMT	inner membrane mitochondrial protein
809_at	0.001669	2.82e-06	-5.669584	4.625099	-0.86242593	RAB27A	RAB27A, member RAS oncogene family
